"Date","Price","Open","High","Low","Vol.","Change %"
"07/30/2026","64,153.7","63,967.8","64,382.3","63,592.2","56.72K","0.29%"
"07/29/2026","63,967.8","63,915.5","64,705.3","63,282.2","56.94K","0.08%"
"07/28/2026","63,916.0","63,748.7","64,079.1","62,785.5","47.87K","0.26%"
"07/27/2026","63,748.9","65,389.2","65,693.2","63,620.4","52.65K","-2.51%"
"07/26/2026","65,389.2","64,367.5","65,553.8","64,288.6","28.85K","1.59%"
"07/25/2026","64,367.5","64,129.4","64,441.5","63,800.5","30.02K","0.35%"
"07/24/2026","64,143.8","65,073.7","65,794.5","63,734.5","59.38K","-1.45%"
"07/23/2026","65,090.4","66,089.6","66,303.3","64,665.7","52.51K","-1.53%"
"07/22/2026","66,101.5","66,544.1","66,727.9","65,562.4","61.34K","-0.66%"
"07/21/2026","66,542.8","65,186.3","66,933.8","65,150.9","65.72K","2.00%"
"07/20/2026","65,238.3","64,593.0","65,784.7","63,760.0","65.81K","0.80%"
"07/19/2026","64,720.9","64,849.0","64,936.7","64,282.1","32.24K","-0.16%"
"07/18/2026","64,823.6","63,925.5","64,850.8","63,881.0","27.90K","1.41%"
"07/17/2026","63,925.1","63,829.2","64,364.8","62,537.9","61.14K","0.14%"
"07/16/2026","63,834.6","64,747.8","64,983.3","63,742.7","61.96K","-1.41%"
"07/15/2026","64,749.8","65,029.3","65,556.5","64,482.9","58.82K","-0.41%"
"07/14/2026","65,015.5","62,319.8","65,056.6","62,271.9","65.96K","4.33%"
"07/13/2026","62,319.8","63,776.4","64,392.1","61,815.7","71.75K","-2.28%"
"07/12/2026","63,776.0","63,815.4","64,251.1","63,642.7","44.96K","-0.07%"
"07/11/2026","63,818.6","64,122.2","64,489.8","63,815.7","29.67K","-0.52%"
"07/10/2026","64,154.1","63,206.5","64,673.1","62,955.5","59.08K","1.47%"
"07/09/2026","63,226.7","62,264.6","63,451.2","61,696.6","61.49K","1.52%"
"07/08/2026","62,282.8","63,324.7","63,726.3","61,546.6","61.66K","-1.65%"
"07/07/2026","63,325.1","64,054.8","64,287.9","62,682.8","56.48K","-1.10%"
"07/06/2026","64,028.0","63,635.7","64,600.6","61,332.2","67.51K","0.62%"
"07/05/2026","63,635.1","63,135.3","63,972.2","62,477.1","31.93K","0.79%"
"07/04/2026","63,135.3","62,589.6","63,441.5","62,328.6","33.41K","0.85%"
"07/03/2026","62,602.6","61,546.0","62,894.4","61,239.3","47.53K","1.72%"
"07/02/2026","61,546.2","60,012.1","62,169.3","59,577.5","79.87K","2.55%"
"07/01/2026","60,014.2","58,619.6","61,226.6","57,832.5","76.79K","2.36%"
"06/30/2026","58,630.8","60,218.0","60,231.3","58,189.4","81.12K","-2.61%"
