"Date","Price","Open","High","Low","Vol.","Change %"
"07/30/2026","1,912.53","1,910.73","1,919.90","1,894.01","325.35K","0.09%"
"07/29/2026","1,910.73","1,921.66","1,931.06","1,875.28","322.72K","-0.57%"
"07/28/2026","1,921.69","1,892.33","1,928.01","1,858.96","310.52K","1.55%"
"07/27/2026","1,892.33","1,954.69","1,977.64","1,884.20","376.73K","-3.19%"
"07/26/2026","1,954.71","1,874.92","1,963.21","1,873.87","175.21K","4.26%"
"07/25/2026","1,874.92","1,861.71","1,876.92","1,851.61","99.81K","0.71%"
"07/24/2026","1,861.71","1,878.36","1,909.10","1,848.26","225.95K","-0.89%"
"07/23/2026","1,878.33","1,934.17","1,941.36","1,870.55","244.39K","-2.89%"
"07/22/2026","1,934.17","1,929.70","1,955.68","1,910.92","277.01K","0.23%"
"07/21/2026","1,929.68","1,904.62","1,951.58","1,900.75","351.85K","1.32%"
"07/20/2026","1,904.55","1,872.25","1,918.10","1,844.99","322.12K","1.72%"
"07/19/2026","1,872.27","1,862.58","1,878.35","1,855.36","167.14K","0.52%"
"07/18/2026","1,862.58","1,841.53","1,865.24","1,837.71","101.53K","1.13%"
"07/17/2026","1,841.82","1,865.62","1,870.11","1,804.30","286.99K","-1.22%"
"07/16/2026","1,864.64","1,920.48","1,928.54","1,857.97","316.62K","-2.78%"
"07/15/2026","1,917.94","1,891.39","1,944.85","1,864.45","350.90K","1.40%"
"07/14/2026","1,891.45","1,777.46","1,894.39","1,773.89","426.56K","6.48%"
"07/13/2026","1,776.30","1,806.32","1,842.67","1,751.82","356.35K","-1.68%"
"07/12/2026","1,806.64","1,789.61","1,826.29","1,780.52","165.26K","1.05%"
"07/11/2026","1,787.89","1,796.80","1,829.06","1,787.09","199.76K","-0.49%"
"07/10/2026","1,796.78","1,745.18","1,810.29","1,738.06","247.52K","2.95%"
"07/09/2026","1,745.30","1,743.46","1,761.35","1,722.17","200.32K","0.10%"
"07/08/2026","1,743.52","1,771.33","1,783.97","1,713.95","267.19K","-1.55%"
"07/07/2026","1,770.98","1,798.60","1,811.44","1,757.94","275.58K","-1.53%"
"07/06/2026","1,798.52","1,781.29","1,830.44","1,730.69","349.67K","0.74%"
"07/05/2026","1,785.35","1,777.05","1,806.81","1,751.09","409.03K","0.28%"
"07/04/2026","1,780.43","1,758.72","1,797.66","1,744.70","213.02K","1.23%"
"07/03/2026","1,758.81","1,699.72","1,772.60","1,694.86","270.27K","3.44%"
"07/02/2026","1,700.24","1,607.00","1,721.74","1,597.30","427.20K","5.65%"
"07/01/2026","1,609.31","1,573.35","1,643.70","1,553.05","338.36K","2.37%"
"06/30/2026","1,572.07","1,612.50","1,614.05","1,551.60","251.02K","-2.55%"
