date,inventory_start,demand_realized,reorder_triggered,reorder_qty,stockout,stockout_amount,inventory_end,ss,rop,target_inventory,buffer
2025-01-01,9944439.463075481,4233008.1778328745,False,0.0,False,0.0,5711431.285242607,404121.32529477787,6749587.534915531,6745432.639667399,
2025-01-02,5711431.285242607,6444811.534619461,True,1435548.8111618916,False,0.0,702168.5617850376,401968.2991561442,6746450.017303642,6745011.797248354,
2025-01-03,702168.5617850376,6068582.521913678,True,6428041.286350211,False,0.0,1061627.3262215704,395560.9661070721,6736289.78048488,6734648.882028176,
2025-01-04,1061627.3262215704,4390896.179978504,True,6117665.155317948,False,0.0,2788396.3015610147,414665.89925576956,6760104.359406798,6764626.582283749,
2025-01-05,2788396.3015610147,3530528.503354419,True,4368751.156080795,False,0.0,3626618.954287391,402978.70874156436,6743594.238504707,6754168.748900246,
2025-01-06,3626618.954287391,6499349.459837581,True,3528354.8759729164,False,0.0,655624.3704227265,404227.99212327035,6744544.191944117,6750745.838137037,
2025-01-07,655624.3704227265,9532625.991571259,True,6495993.245450432,True,2381008.3756981,0.0,397780.7884631535,6743868.218086828,6753836.827410005,
2025-01-08,0.0,10323009.934766887,True,7134381.561609244,True,3188628.373157643,0.0,397251.0914647229,6740677.104724069,6737130.470144521,
2025-01-09,0.0,8950565.886590123,True,7151399.1980051,True,1799166.6885850234,0.0,403970.4253204261,6756930.8274689065,6747428.772684674,
2025-01-10,0.0,8111377.622949932,True,7153551.31812586,True,957826.3048240719,0.0,402102.9505427876,6751655.3955157325,6751448.367583072,
2025-01-11,0.0,3586643.353244326,True,7170520.284587487,False,0.0,3583876.9313431606,407934.7708818752,6758580.3363460945,6762585.513705611,
2025-01-12,3583876.9313431606,3566416.9312466998,True,3560954.0716133723,False,0.0,3578414.071709833,398706.1192506404,6741840.326383417,6746124.883705893,
2025-01-13,3578414.071709833,12728989.276563035,True,3597316.6335277352,True,5553258.571325467,0.0,409037.8315593553,6760468.37679162,6766692.873678213,
2025-01-14,0.0,7087460.55194388,True,7169032.474671829,False,0.0,81571.92272794899,405603.3655981665,6757655.748409964,6763429.109073662,
2025-01-15,81571.92272794899,7532627.576252059,True,7067665.890789435,True,383389.76273467485,0.0,397453.7766350058,6749601.855367693,6751784.036882378,
2025-01-16,0.0,7978464.991068544,True,7157581.771428058,True,820883.219640486,0.0,404237.690373576,6756989.147685308,6753344.081054482,
2025-01-17,0.0,8117253.091595939,True,7156507.758601988,True,960745.3329939516,0.0,401357.6435868372,6757330.105926907,6755150.11501515,
2025-01-18,0.0,9807065.313742742,True,7178799.262664832,True,2628266.05107791,0.0,407668.6939704086,6769306.824953751,6771130.568694424,
2025-01-19,0.0,17838426.68786461,True,7202825.370125241,True,10635601.317739367,0.0,417113.10886895895,6789584.2856686,6785712.261256281,
2025-01-20,0.0,15980055.410554076,True,7199660.572631054,True,8780394.837923022,0.0,405005.18450767593,6785429.136410793,6794655.388123378,
2025-01-21,0.0,9858730.398790348,True,7224551.957206062,True,2634178.4415842863,0.0,418533.6574140793,6799864.485193891,6806018.299791982,
2025-01-22,0.0,6842495.090263683,True,7227493.917511858,False,0.0,384998.8272481747,413926.65467814624,6800228.826914448,6813567.262833712,
2025-01-23,384998.8272481747,9721828.918967867,True,6814766.263416709,True,2522063.828302983,0.0,412018.69967909064,6800375.916120341,6787746.390985793,
2025-01-24,0.0,7728630.042203354,True,7211697.075865615,True,516932.96633773856,0.0,408544.99174736463,6796767.587638844,6803152.084118251,
2025-01-25,0.0,4143261.7845861088,True,7188508.944422578,False,0.0,3045247.1598364697,403938.19488935784,6787206.906882159,6784570.74953322,
2025-01-26,3045247.1598364697,4471856.702089126,True,4155986.61404519,False,0.0,2729377.0717925336,402276.32596583274,6786872.998542358,6798957.447915827,
